Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152
Region,Country,Industry,Edition,Category,Subcategory,Hierarchy level,Data Type,Measure,2013 (%),2014 (%),2015 (%),2016 (%),2017 (%),2018 (%),2019 (%),2020 (%),2021 (%),2022 (%),Unit,Unit 2013,Unit 2014,Unit 2015,Unit 2016,Unit 2017,Unit 2018,Unit 2019,Unit 2020,Unit 2021,Unit 2022,Unit,Unit 2013,Unit 2014,Unit 2015,Unit 2016,Unit 2017,Unit 2018,Unit 2019,Unit 2020,Unit 2021,Unit 2022,Unit,Unit 2013,Unit 2014,Unit 2015,Unit 2016,Unit 2017,Unit 2018,Unit 2019,Unit 2020,Unit 2021,Unit 2022,Unit,Unit 2013,Unit 2014,Unit 2015,Unit 2016,Unit 2017,Unit 2018,Unit 2019,Unit 2020,Unit 2021,Unit 2022,Unit,Unit 2013,Unit 2014,Unit 2015,Unit 2016,Unit 2017,Unit 2018,Unit 2019,Unit 2020,Unit 2021,Unit 2022,Unit,Unit 2013,Unit 2014,Unit 2015,Unit 2016,Unit 2017,Unit 2018,Unit 2019,Unit 2020,Unit 2021,Unit 2022,Unit,Unit 2013,Unit 2014,Unit 2015,Unit 2016,Unit 2017,Unit 2018,Unit 2019,Unit 2020,Unit 2021,Unit 2022,Unit,Unit 2013,Unit 2014,Unit 2015,Unit 2016,Unit 2017,Unit 2018,Unit 2019,Unit 2020,Unit 2021,Unit 2022,Unit,Unit 2013,Unit 2014,Unit 2015,Unit 2016,Unit 2017,Unit 2018,Unit 2019,Unit 2020,Unit 2021,Unit 2022,Unit,Unit 2013,Unit 2014,Unit 2015,Unit 2016,Unit 2017,Unit 2018,Unit 2019,Unit 2020,Unit 2021,Unit 2022,Unit,Unit 2013,Unit 2014,Unit 2015,Unit 2016,Unit 2017,Unit 2018,Unit 2019,Unit 2020,Unit 2021,Unit 2022,Unit,Growth% 2013-2014,Growth% 2014-2015,Growth% 2015-2016,Growth% 2016-2017,Growth% 2017-2018,Growth% 2018-2019,Growth% 2019-2020,Growth% 2020-2021,Growth% 2021-2022,Historic Period Growth Years,Historic PGrowth%,Historic CAGR%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia Pacific,India,Snacks,2023,Ice Cream,    Impulse Ice Cream,2,Retail Value RSP,Cones,27,27.2999992371,28,28.1000003815,28.2000007629,28.3999996185,28.3500003815,28.2999992371,28.25,28.2000007629,INR million (Historic Current Prices),10867.902566949,12482.1042867968,14985.0036773723,17621.1280792145,20863.7705644608,24714.979146834,28877.7874762315,17102.6287023654,18459.8300232988,22395.7056589898,"USD million (Historic Current Prices, Year-on-Year Exchange Rates)",185.4852213356,204.5176865939,233.6336055801,262.0627164865,320.3827157842,361.3124271838,410.0759984664,230.7944176901,249.6596956829,287.183603504,"USD million (Historic Current Prices, Fixed 2022 Exchange Rates)",139.3607984151,160.0599571622,192.1550238298,225.9584554579,267.5393624392,316.9240067711,370.3043429363,219.3096576158,236.7132604296,287.183603504,"GBP million (Historic Current Prices, Year-on-Year Exchange Rates)",118.6672617698,124.2155212669,152.8995662252,194.1775536366,248.7638295266,270.8699047859,321.3218831983,180.0195481023,181.5132222785,210.6396467769,"GBP million (Historic Current Prices, Fixed 2022 Exchange Rates)",102.2165227908,117.3986691037,140.9393358537,165.7330316327,196.2312475905,232.4532460311,271.6059518871,160.856358968,173.6213243234,210.6396467769,"EUR million (Historic Current Prices, Year-on-Year Exchange Rates)",139.7004705263,154.1512665897,210.6578342203,236.9139014299,284.2749406263,306.0895375817,366.315994478,202.5163794908,211.0564557975,248.4180105211,"EUR million (Historic Current Prices, Fixed 2022 Exchange Rates)",120.5491255925,138.4542001604,166.216901484,195.4573634441,231.4254551525,274.1438936202,320.3186638693,189.7060562241,204.7604267877,248.4180105211,"CHF million (Historic Current Prices, Year-on-Year Exchange Rates)",171.931837854,187.1743936941,224.8446196047,258.2236301249,315.4934743208,352.5252188161,407.4468644496,216.7103742002,228.2238325491,254.0470764631,"CHF million (Historic Current Prices, Fixed 2022 Exchange Rates)",123.2807269598,141.5915243061,169.9833188108,199.8863594954,236.6694756845,280.3558991488,327.5769736737,194.0047296489,209.4002270271,254.0470764631,"JPY million (Historic Current Prices, Year-on-Year Exchange Rates)",18102.8057795987,21645.7353980546,28279.9521544898,28510.5629207135,35937.7742906723,39897.2669450727,44702.2475867814,24642.9775373597,27401.231089629,30740.1208250205,"JPY million (Historic Current Prices, Fixed 2022 Exchange Rates)",14917.1739935089,17132.8110741006,20568.265658595,24186.5835565124,28637.4020887163,33923.5323382888,39637.3612734228,23474.8965154907,25337.7774277795,30740.1208250205,INR million (Historic Current Prices),14.8529277835,20.0519025724,17.5917501163,18.4020141654,18.4588330785,16.8432605371,-40.7758343106,7.9356299231,21.3212994417,2017-2022,7.3425610668,1.4271892689
Asia Pacific,India,Snacks,2023,Ice Cream,    Impulse Ice Cream,2,Retail Value RSP,Sticks,39,39.2000007629,39.2999992371,39.5,39.5999984741,39.7000007629,39.6500015259,39.5999984741,39.7000007629,39.7999992371,INR million (Historic Current Prices),15698.081485593,17923.0223897327,21032.5226102886,24769.9128,29298.0588710785,34548.757188896,40388.1588038704,23931.59324295,25941.7793277414,31608.1221285866,"USD million (Historic Current Prices, Year-on-Year Exchange Rates)",267.9230974848,293.6664356984,327.9214471804,368.3799701313,449.8991032959,505.0740784341,573.5278217331,322.949075433,350.8492074013,405.315847203,"USD million (Historic Current Prices, Fixed 2022 Exchange Rates)",201.2989310441,229.8296929751,269.7032960682,317.6284295167,375.6935481464,443.0240661834,517.9036178095,306.8785279531,332.655455563,405.315847203,"GBP million (Historic Current Prices, Year-on-Year Exchange Rates)",171.4082670009,178.3607569417,214.6054584285,272.9542087019,349.3279079133,378.6456187007,449.397283516,251.9001421325,255.0823031129,297.2857288725,"GBP million (Historic Current Prices, Fixed 2022 Exchange Rates)",147.6460884756,168.5724559357,197.8184211258,232.969916748,275.5587551391,324.9434566457,379.8651238749,225.0852205445,243.9917418796,297.2857288725,"EUR million (Historic Current Prices, Year-on-Year Exchange Rates)",201.7895685379,221.3454189304,295.6733115763,333.028433432,399.1945712933,427.8786985473,512.3255571276,283.3798068913,296.5996975641,350.6041263022,"EUR million (Historic Current Prices, Fixed 2022 Exchange Rates)",174.1265147448,198.8060404248,233.2972893395,274.7532295812,324.9804050699,383.2222863403,447.9941918973,265.4544077573,287.7518265377,350.6041263022,"CHF million (Historic Current Prices, Year-on-Year Exchange Rates)",248.3459880113,268.7632447129,315.5854778186,362.9833897319,443.0333604146,492.790550843,569.8507435541,303.2413681629,320.7251796927,358.5486941793,"CHF million (Historic Current Prices, Fixed 2022 Exchange Rates)",178.0721611642,203.3109163348,238.5837249849,280.9790424513,332.3443483127,391.9059704086,458.145584876,271.4695125507,294.2721831056,358.5486941793,"JPY million (Historic Current Prices, Year-on-Year Exchange Rates)",26148.4972371981,31081.0574297103,39692.9320748414,40077.1252697499,50465.8073961552,55771.8855434462,62520.0762319782,34482.7526213956,38507.2175279204,43384.9912157036,"JPY million (Historic Current Prices, Fixed 2022 Exchange Rates)",21547.0291017351,24600.9606573291,28869.0294532301,33998.9337193123,40214.221572161,47421.277387375,55436.3814400609,32848.2647086508,35607.4259544792,43384.9912157036,INR million (Historic Current Prices),14.1733300734,17.3491956487,17.7695764743,18.2808316995,17.9216593868,16.9019151197,-40.7460157836,8.3997169114,21.8425372032,2017-2022,7.8846973026,1.5294350203
Asia Pacific,India,Snacks,2023,Ice Cream,    Impulse Ice Cream,2,Retail Value RSP,Others,34,33.5,32.7000007629,32.4000015259,32.2000007629,31.8999996185,32,32.0999984741,32.0499992371,32,INR million (Historic Current Prices),13685.506936158,15316.8683257705,17500.3439886688,20317.6003168579,23823.1705644608,27760.83929387,32595.7385116444,19399.0943480467,20942.9217048848,25413.566017683,"USD million (Historic Current Prices, Year-on-Year Exchange Rates)",233.5739824227,250.9649337864,272.8506814542,302.1648504901,365.8270714036,405.8403677518,462.872372993,261.7844754563,283.2422320765,325.8820944503,"USD million (Historic Current Prices, Fixed 2022 Exchange Rates)",175.491375782,196.4105756331,224.4096223513,260.5357367343,305.4882071486,355.9815433415,417.9802050975,248.7575923891,268.554329776,325.8820944503,"GBP million (Historic Current Prices, Year-on-Year Exchange Rates)",149.4328481546,152.4256439096,178.564854722,223.891564011,284.0494781502,304.2517596974,362.6913623982,204.1917800418,205.9291552404,239.023706188,"GBP million (Historic Current Prices, Fixed 2022 Exchange Rates)",128.7171027736,144.0606419371,164.5970139266,191.0943204587,224.0654663538,261.1006534971,306.5746152888,182.4554422836,196.9756924638,239.023706188,"EUR million (Historic Current Prices, Year-on-Year Exchange Rates)",175.9191110331,189.1599844349,246.0182621329,273.1676392749,324.597626149,343.8118402551,413.4783656284,229.7093868514,239.4463450367,281.8927702698,"EUR million (Historic Current Prices, Fixed 2022 Exchange Rates)",151.802602598,169.8980159339,194.1176001907,225.3672166499,264.2517599597,307.9292330765,361.5589808075,215.1789498054,232.3034167195,281.8927702698,"CHF million (Historic Current Prices, Year-on-Year Exchange Rates)",216.5067587791,229.6828704757,262.5864011648,297.7382881312,360.2443205315,395.9702287608,459.9047438076,245.8092886463,258.9229613832,288.2803626552,"CHF million (Historic Current Prices, Fixed 2022 Exchange Rates)",155.2423969124,173.7478460372,198.5162376714,230.4739595991,270.2396131712,314.906802677,369.7517818874,220.0548301622,237.567331556,288.2803626552,"JPY million (Historic Current Prices, Year-on-Year Exchange Rates)",22796.1257965317,26561.6174395507,33026.9448938467,32873.3903770313,41035.3307897348,44814.1837120942,50457.562734708,27951.9280096352,31087.0596643232,34882.4056662231,"JPY million (Historic Current Prices, Fixed 2022 Exchange Rates)",18784.5894733075,21023.7797444045,24020.7965260142,27887.7342882019,32699.4448282827,38104.2494079658,44740.5835514057,26627.002213505,28746.0441497042,34882.4056662231,INR million (Historic Current Prices),11.9203577713,14.2553661523,16.0982911537,17.2538596731,16.5287349925,17.4162573638,-40.4857958929,7.9582444888,21.3468033534,2017-2022,6.6758345574,1.300878074
Asia Pacific,India,Snacks,2023,Ice Cream,    Impulse Ice Cream,2,Retail Value RSP,Total,100,100,100,100.0000019073,100,100,100.0000019073,99.9999961853,100,100,INR million (Historic Current Prices),40251.4909887,45721.9950023,53517.8702763297,62708.6411960724,73985,87024.5756296,101861.6847917463,60433.3162933621,65344.531055925,79417.3938052594,"USD million (Historic Current Prices, Year-on-Year Exchange Rates)",686.9823012431,749.1490560787,834.4057342148,932.6075371078,1136.1088904837,1272.2268733697,1446.4761931925,815.5279685793,883.7511351606,1018.3815451573,"USD million (Historic Current Prices, Fixed 2022 Exchange Rates)",516.1511052412,586.3002257704,686.2679422493,804.1226217089,948.7211177342,1115.929616296,1306.1881658433,774.945777958,837.9230457687,1018.3815451573,"GBP million (Historic Current Prices, Year-on-Year Exchange Rates)",439.5083769253,455.0019221182,546.0698793757,691.0233263495,882.1412155901,953.767283184,1133.4105291125,636.1114702766,642.5246806318,746.9490818375,"GBP million (Historic Current Prices, Fixed 2022 Exchange Rates)",378.57971404,430.0317669765,503.354770906,589.7972688394,695.8554690835,818.4973561739,958.0456910508,568.3970217961,614.5887586668,746.9490818375,"EUR million (Historic Current Prices, Year-on-Year Exchange Rates)",517.4091500972,564.656669955,752.3494079296,843.1099741367,1008.0671380685,1077.7800763841,1292.119917234,715.6055732335,747.1024983984,880.9149070931,"EUR million (Historic Current Prices, Fixed 2022 Exchange Rates)",446.4782429353,507.1582565191,593.6317910142,695.5778096752,820.6576201821,965.295413037,1129.871836574,670.3394137869,724.8156700449,880.9149070931,"CHF million (Historic Current Prices, Year-on-Year Exchange Rates)",636.7845846444,685.6205088827,803.0164985881,918.9453079879,1118.771155267,1241.2859984199,1437.2023518113,765.7610310094,807.871973625,900.8761332976,"CHF million (Historic Current Prices, Fixed 2022 Exchange Rates)",456.5952850364,518.6502866781,607.0832814671,711.3393615458,839.2534371684,987.1686722344,1155.4743404371,685.5290723618,741.2397416888,900.8761332976,"JPY million (Historic Current Prices, Year-on-Year Exchange Rates)",67047.4288133285,79288.4102673156,100999.8291231779,101461.0785674947,127438.9124765623,140483.3362006131,157679.8865534676,87077.6581683905,96995.5082818725,109007.5177069471,"JPY million (Historic Current Prices, Fixed 2022 Exchange Rates)",55248.7925685514,62757.5514758342,73458.0916378393,86073.2515640265,101551.0684891599,119449.0591336296,139814.3262648895,82950.1634376465,89691.247531963,109007.5177069471,INR million (Historic Current Prices),13.5908108724,17.0506017369,17.1732747815,17.9821450263,17.6246207064,17.0493323924,-40.6711989725,8.1266676459,21.5364048405,2017-2022,7.3425610668,1.4271892689
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Euromonitor International Ltd 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
